[51,67208.55,10.825,632.46,632.46]
[102,70155.9,20.15,441.55,462.02]
[152,73336.45,30.725,355.91,384.53]
[194,77638.1,39.8,304.31,333.54]
[242,81350.3,49.3,268.66,297.72]
[290,85569.4,60.175,242.07,271.38]
[333,89745.425,69.575,221.16,249.84]
[377,92025.25,79.3,203.99,232.04]
[423,94144.225,88.125,189.52,216.75]
[473,96592.3,97.075,177.08,203.52]
[523,98945.8,107.2,166.2,192.13]
[571,101246.625,117.475,156.55,182.12]
